id,Heart Disease
630000,0.9519415163927728
630001,0.009155033588103292
630002,0.9877797553109997
630003,0.005431302555106981
630004,0.18239950964992363
630005,0.9827873797724932
630006,0.0072006570809709574
630007,0.5793342100473771
630008,0.9922066695652595
630009,0.013933391663318475
630010,0.8905266127753853
630011,0.3429897777275856
630012,0.9791822442720775
630013,0.977190119366975
630014,0.9957959380861228
630015,0.12767632446461138
630016,0.004710513580275078
630017,0.9767809777111454
630018,0.018772384012650543
630019,0.35913604185353093
630020,0.6681330429018701
630021,0.10703664445765217
630022,0.8265516174535754
630023,0.13093497847000268
630024,0.6166995097979912
630025,0.7041937977546907
630026,0.004262025448518745
630027,0.13045222142519752
630028,0.46015452829340425
630029,0.26855982526118344
630030,0.0023744144622317833
630031,0.8946381505868997
630032,0.03764387429387237
630033,0.08379856987723759
630034,0.007454433859671018
630035,0.03761996682580344
630036,0.8992694892329813
630037,0.9945761510687758
630038,0.005743672217010795
630039,0.9887370990405274
630040,0.9658793229865364
630041,0.9952315858152917
630042,0.37391246147805174
630043,0.9036344269342358
630044,0.03418462618176929
630045,0.9987106158739382
630046,0.6826208375101516
630047,0.9763107555461492
630048,0.41086489802491183
630049,0.7501834661516881
630050,0.06158961363372226
630051,0.4664207337297562
630052,0.9940511615871804
630053,0.005610198207628333
630054,0.8168880779563764
630055,0.03502590550703303
630056,0.9500227048232177
630057,0.7521784119000481
630058,0.9962152865363105
630059,0.6238371570071936
630060,0.9642459092618348
630061,0.9858510957741612
630062,0.4062074536260303
630063,0.3027639570350286
630064,0.05635821152485249
630065,0.059927780423518255
630066,0.9871023995831931
630067,0.08608727454415568
630068,0.08547855337736256
630069,0.4657811070901469
630070,0.3590999117665393
630071,0.004275079386872904
630072,0.028013013184238215
630073,0.012784178524093094
630074,0.13287818648387897
630075,0.9286979299276663
630076,0.9946172320701021
630077,0.8106745023215195
630078,0.04508313891084065
630079,0.01381270996763883
630080,0.7840690463614403
630081,0.9708519031535194
630082,0.7977097036531303
630083,0.9922912946308947
630084,0.04176134307197288
630085,0.6241261882989725
630086,0.01220314752990705
630087,0.8190210644073835
630088,0.0444831568305135
630089,0.9976870052866792
630090,0.09194523360596041
630091,0.997259336321502
630092,0.012134482351915997
630093,0.9987382798441604
630094,0.8867247882029567
630095,0.0633242829094678
630096,0.9787486417700396
630097,0.06319593071009545
630098,0.9981005092122839
630099,0.8267177391401044
630100,0.056192412082731666
630101,0.1647373330130205
630102,0.030811426082218173
630103,0.015573915011454513
630104,0.7848585709847322
630105,0.020134217167979692
630106,0.030531387828184247
630107,0.9460789755109802
630108,0.06165109861521447
630109,0.16511140103476743
630110,0.30051972815778094
630111,0.13144840668028918
630112,0.8789087439602942
630113,0.9422098084079462
630114,0.9885577708612939
630115,0.9952282974508139
630116,0.012284715236934576
630117,0.028006331381969906
630118,0.995411884341156
630119,0.17802163805595678
630120,0.8189541708401138
630121,0.8769266444275955
630122,0.0344883256771934
630123,0.4414836706329912
630124,0.04140325109792248
630125,0.7173748358523545
630126,0.018082090281808204
630127,0.08099966279726459
630128,0.814486939972215
630129,0.01765506914521995
630130,0.005801935498856024
630131,0.9738428282202505
630132,0.03230324182512743
630133,0.006543612782641638
630134,0.7633528675362053
630135,0.9120166428057878
630136,0.9871084392143339
630137,0.4782238253256484
